x,c0,c1,c2,c3,c4,c5
1.0,10.540320612687067,8.08493940938301,8.800263764491941,-4.339257547662943,-2.571536134006354,-11.83369997401296
1.0010000000000001,10.536805896147785,8.080839937693463,8.863010371739461,-4.0895946103265155,-2.543015210017421,-11.83733473433583
1.002,10.532409876902706,8.07474289245937,8.919755787407183,-3.8476889972845,-2.5160043644214016,-11.84184374050358
1.0030000000000001,10.529683896568944,8.069209119398918,8.972741797346774,-3.610886088420645,-2.487928356532094,-11.844675177941683
1.004,10.526931370633042,8.062556979670683,9.01998784037748,-3.380772219509913,-2.4604617065534984,-11.847525124767735
1.0050000000000001,10.5252301602178,8.055884598727339,9.062315583121547,-3.1561530032879466,-2.4325061766049765,-11.8493151972528
1.006,10.520017160139453,8.044654270298972,9.094935318181339,-2.9414694508282033,-2.4086060079296576,-11.854607981691455
1.0070000000000001,10.515801478591799,8.033405446890521,9.122160605014466,-2.7320853792384,-2.3842345907951548,-11.85889386937838
1.008,10.51255973795259,8.022149948251975,9.14380477957649,-2.5278926627992013,-2.3593991488954686,-11.862195755485773
1.0090000000000001,10.508921584019541,8.009557314124317,9.158367310043499,-2.330126237393324,-2.3354551679506015,-11.865883534907141
1.01,10.503205366839797,7.993990234248312,9.164069947216026,-2.1403288871007438,-2.314070567483305,-11.87163843360365
1.0110000000000001,10.496497677157736,7.9765838583635045,9.161936482248768,-1.9572721118903889,-2.29414608278802,-11.878373478271973
1.012,10.48874426219112,7.95733655866003,9.15188369573723,-1.7808656160272982,-2.275724369861334,-11.886142575184506
1.0130000000000001,10.482017865959605,7.938377657940542,9.135989051435061,-1.6088897836678586,-2.2567222507285187,-11.892872657743588
1.014,10.475819124822875,7.919268196133256,9.113791237538631,-1.441695114899555,-2.2376299037717358,-11.899062782399074
1.0150000000000001,10.470540120076075,7.900464247642174,9.085753114454624,-1.2787389406863672,-2.218047266716917,-11.90432057788233
1.016,10.46912609718073,7.884978311430094,9.054922604726228,-1.116923937872022,-2.1950221883628562,-11.905700536172626
1.0170000000000001,10.468253402393463,7.869556782246452,9.01810955783125,-0.9594203650565049,-2.171872211630975,-11.906526099285037
1.018,10.467786542796054,7.8541363762988405,8.975341488858936,-0.8062091315451831,-2.1487270505585987,-11.906932635809778
1.0190000000000001,10.467336470779621,7.838401755786716,8.926420430447306,-0.6575235783916386,-2.1259698496678467,-11.90730918907427
1.02,10.465434802152217,7.820959148438187,8.870095703002939,-0.5146752638659647,-2.10506262534591,-11.909124278431108
1.0210000000000001,10.463447901656526,7.803249935590849,8.807976602379084,-0.3761398966513913,-2.0846319931084323,-11.911011817896108
1.022,10.461611900065689,7.785585272951822,8.740566067985723,-0.24152225647858933,-2.0644341185604103,-11.912736089712515
1.0230000000000001,10.460173767309676,7.7682868252459505,8.668400450316687,-0.11041507219101444,-2.044213681103333,-11.914050656260939
1.024,10.46278773334619,7.755082865951168,8.595444624669092,0.02099751689479956,-2.0203075113485855,-11.911301922805295
1.025,10.466030851298454,7.742623447504368,8.5186061588701,0.14945572460772943,-1.9961289638638948,-11.907913568510416
1.026,10.471281137923242,7.7323579961886235,8.439611889960972,0.2765025872478455,-1.9702894744790793,-11.90250841698871
1.027,10.474454882218067,7.720272047432367,8.354743602209165,0.3982217037086875,-1.946860910273969,-11.899171140285237
1.028,10.476201125705032,7.707081186632957,8.26503089533645,0.5154322135423363,-1.9251808008477633,-11.897253784430353
1.029,10.478559601888925,7.694888658644365,8.172907698147394,0.6303472492974159,-1.9031944223657833,-11.894717812672802
1.03,10.480611055614752,7.682835507358193,8.077861323232842,0.742224734354039,-1.8818047197341081,-11.89248375537614
1.031,10.479711378393727,7.668334557124762,7.977665304315703,0.8486021085333606,-1.863638395710512,-11.893197044968291
1.032,10.477928243982795,7.653506962987201,7.874814790670595,0.9517335866654877,-1.8466095847142483,-11.894791348882485
1.033,10.475660788432911,7.6388019727954175,7.770145115031955,1.0522104038370936,-1.83030071107094,-11.896868844211204
1.034,10.473257266190537,7.624614708735943,7.664448349961106,1.1505790837447252,-1.8143453934445706,-11.899082520472222
1.035,10.471778740617996,7.6120499619003015,7.55923576845658,1.248105855007028,-1.7976652156836397,-11.900372456732606
1.036,10.47193606121427,7.601859229258608,7.455673443735097,1.3457144836684496,-1.7795330687781046,-11.900028823827824
1.037,10.471168649582928,7.591519447336541,7.351659375142969,1.4410662021180676,-1.7624944409157257,-11.900613095335707
1.038,10.467274939494578,7.578863272664414,7.245451984536536,1.5321916161395999,-1.7487368087694948,-11.904327618979666
1.039,10.463460098001255,7.567126737219522,7.140715869720357,1.6225399192434402,-1.7350419266271149,-11.907967897046936
1.04,10.460787051583726,7.557400373491258,7.038970953949287,1.713431327969678,-1.7203351001089975,-11.910471546139856
1.041,10.46070182920715,7.5511546371890805,6.94211576092952,1.806584081647313,-1.7031600538981937,-11.910392946044064
1.042,10.460774723579405,7.545981007924345,6.848166148779141,1.8998578394764167,-1.685937652194644,-11.910162090914211
1.043,10.457824821296182,7.538716308813389,6.754377033530028,1.990381207344136,-1.6718409174324642,-11.912960088710014
1.044,10.45292043956983,7.530442985131888,6.6622399708346425,2.0795555168493345,-1.6597942535893222,-11.917718746860984
1.045,10.452450561875336,7.52756058782095,6.578551958787621,2.1741295695808405,-1.6434021077575083,-11.918049134810392
1.046,10.455243288377151,7.528904330289861,6.502531251928907,2.2733218155634676,-1.6238306981171957,-11.915123127571194
1.047,10.460739784881628,7.533918888222087,6.433988257880836,2.3769997840538055,-1.6016336137273848,-11.909499484847494
1.048,10.4694298481771,7.5430936173435175,6.373757776930653,2.4861231048763375,-1.5763153376985688,-11.900688333992925
1.049,10.475503786925707,7.550614005762596,6.316347510176689,2.5954048819398676,-1.5536782514196015,-11.894499343020856
1.05,10.479055644526094,7.556564475580483,6.262138080834267,2.7055265147335037,-1.5336183443771159,-11.890838544888679
1.051,10.484528229728898,7.5653732845285955,6.215825513300823,2.8215952415655416,-1.511679824158129,-11.885263316129338
1.052,10.488452346450641,7.573551842342812,6.174158461912584,2.9408974167821302,-1.4913160383667763,-11.881243130028679
1.053,10.492294858011784,7.582542879879837,6.1387845970253645,3.0657638066669284,-1.4710415311601726,-11.877311477836392
1.054,10.493477927060521,7.589739898287828,6.107268654827705,3.1946091605507196,-1.4534131487405153,-11.876046605393595
1.055,10.49264884984981,7.595757295456279,6.080361557472297,3.3292262910480637,-1.437760699626747,-11.876801648823406
1.056,10.493468030971297,7.604218776143284,6.0617882604473285,3.4746021526951205,-1.4203998178608461,-11.875916618800366
1.057,10.49358150567192,7.612730368086934,6.04922062331362,3.629923966446972,-1.4036603416862272,-11.875745837254136
1.058,10.494094107766923,7.622353975497188,6.043751211737079,3.7980944966903003,-1.3864136543871863,-11.875184748389254
1.059,10.495414425101288,7.633452687665021,6.045739289364711,3.9816278824262836,-1.3682280794630255,-11.87382495001939
1.06,10.496993742721775,7.645430019858884,6.05455118471394,4.182449549664292,-1.3496300703605448,-11.872215247197792
1.061,10.498504728244848,7.657908830542216,6.069740779072082,4.4031458086417015,-1.3309254263422083,-11.87068297345242
1.062,10.49788799888504,7.668778102847399,6.08909829938508,4.645087749905596,-1.314152557986,-11.871287432730448
1.063,10.496248210847773,7.679089265393523,6.113549045648478,4.913402209586425,-1.2981862848923456,-11.872923816360695
1.064,10.494702249125874,7.689904723472103,6.144004667775572,5.213872533136577,-1.281889898627403,-11.874475006788575
1.065,10.490385353771794,7.6983043583749575,6.17737265477112,5.5489449756391735,-1.268109368869029,-11.87880544267799
1.066,10.486723314941342,7.707658078198398,6.216832039240671,5.927897060130291,-1.2534014008498406,-11.882488919992571
1.067,10.484718218476583,7.718911985233244,6.2631227766155835,6.3578360432990815,-1.2367481622937264,-11.88452283508905
1.068,10.483544510610407,7.731184786451448,6.315145340442561,6.843741170711368,-1.2189613866109457,-11.885732121956744
1.069,10.48367425966344,7.744893242283213,6.373089287765105,7.390712954782513,-1.1995566815092875,-11.885644011293163
1.07,10.484077313140764,7.7589524221312915,6.43563643830353,8.000024265133566,-1.1795526555682094,-11.885287903323855
1.071,10.482937644556728,7.771492100642201,6.500679913768383,8.66865475040964,-1.160753725362269,-11.886479052412861
1.072,10.48256317742004,7.784766642115488,6.570236233606592,9.393391193468311,-1.1408395654236707,-11.886908768412798
1.073,10.483324050054057,7.799093397752716,6.644385381828329,10.16469464291676,-1.1194264485857048,-11.886206165494631
1.074,10.486214718895253,7.815414919602918,6.723834142880962,10.969991817738629,-1.0955047046355242,-11.883376071668362
1.075,10.488741394444581,7.831186432030964,6.8058041583977795,11.790793247619561,-1.0715505476648624,-11.880911613958716
1.076,10.491546284164667,7.847000051600491,6.890656168318167,12.610611095214722,-1.0469009029168488,-11.878169998535812
1.077,10.49413394943784,7.862311149111963,6.977615822015125,13.41173027076052,-1.0220262977336092,-11.875646170682998
1.078,10.496603716991297,7.8771708133072025,7.066505046081508,14.177642786832017,-0.9967979429582173,-11.873240409058127
1.079,10.500524140457761,7.8931004124847925,7.158615085618436,14.89433904220279,-0.9696130031750082,-11.869383862911397
1.08,10.508384947499257,7.912543654838005,7.256156730530941,15.549996981616518,-0.9379424228279347,-11.861586600918905
1.081,10.517758660508871,7.933028230636293,7.356420032871663,16.12928984734414,-0.9041686066975329,-11.852275997135997
1.082,10.524905255934456,7.950770351789538,7.455376979430703,16.61709815443053,-0.8719793520381176,-11.845192092129992
1.083,10.527938731185811,7.963841202751582,7.550846140959539,17.001763809702496,-0.8431999102741887,-11.842221042418133
1.084,10.529642619875283,7.974982564594186,7.645306596342715,17.27797287065168,-0.8149772925055316,-11.840579588091188
1.085,10.531579378187763,7.985716558343736,7.740006205583315,17.44090264239441,-0.7856719738577236,-11.838705620159368
1.086,10.53280868631502,7.995064372374999,7.8336793674418645,17.484939650551404,-0.7561408993208389,-11.837539830826172
