x,y
0.0,2.3812704631434443e-05
0.244140625,8.318941929996792e-05
0.48828125,5.0185513864025565e-05
0.732421875,3.442319322156358e-05
0.9765625,2.0559149654437078e-05
1.220703125,1.8019602530574403e-05
1.46484375,1.700145262306597e-05
1.708984375,1.1132831998100687e-05
1.953125,1.6753610368563475e-05
2.197265625,1.7988185071714926e-05
2.44140625,1.455862649898252e-05
2.685546875,1.560367005080091e-05
2.9296875,1.5699923382880073e-05
3.173828125,1.892337923452168e-05
3.41796875,2.007450601432718e-05
3.662109375,1.8599914969688244e-05
3.90625,2.1373369488731972e-05
4.150390625,2.2620192401745883e-05
4.39453125,2.3880131291828326e-05
4.638671875,2.727316858430227e-05
4.8828125,3.02321869667994e-05
5.126953125,3.182618891532514e-05
5.37109375,3.915457008047689e-05
5.615234375,3.862222377182942e-05
5.859375,4.4514720215126166e-05
6.103515625,5.120162273065119e-05
6.34765625,5.374654146934708e-05
6.591796875,7.030245021647511e-05
6.8359375,8.037212027966823e-05
7.080078125,8.163582232749509e-05
7.32421875,9.483421695982278e-05
7.568359375,0.00012899733913982972
7.8125,0.0001534206037932529
8.056640625,0.00017733536948294818
8.30078125,0.0002637035051421184
8.544921875,0.0002898898606186336
8.7890625,0.00038553326507631574
9.033203125,0.0005289187849318415
9.27734375,0.0007854691519032316
9.521484375,0.0009911870844829195
9.765625,0.002040066882752577
10.009765625,0.00479239240215092
10.25390625,0.009577303509363474
10.498046875,0.03261716314553247
10.7421875,0.33580208242106896
10.986328125,0.5322321060734139
11.23046875,0.061419706700897185
11.474609375,0.004588859100957614
11.71875,0.0024332165449003755
11.962890625,0.0015267462552703026
12.20703125,0.0010480274394245065
12.451171875,0.0009948851485842584
12.6953125,0.0005726937459016307
12.939453125,0.00040241261733479976
13.18359375,0.00034224322237159585
13.427734375,0.0003298105189887615
13.671875,0.0003049516952583356
13.916015625,0.0002519223777597467
14.16015625,0.00020379024415024304
14.404296875,0.00020397696607254046
14.6484375,0.00014627388060445084
14.892578125,0.0001348986184056113
15.13671875,0.0001168243509471314
15.380859375,0.00010445122559176966
15.625,9.279559498168157e-05
15.869140625,8.731713792318525e-05
16.11328125,7.764059776165507e-05
16.357421875,9.07640206676622e-05
16.6015625,0.00010584004435796922
16.845703125,8.979390883078548e-05
17.08984375,8.29284696729819e-05
17.333984375,7.7242928279536e-05
17.578125,7.656476960626764e-05
17.822265625,5.872515935649069e-05
18.06640625,5.236277414292662e-05
18.310546875,5.148942208617602e-05
18.5546875,6.198504829661219e-05
18.798828125,5.356110271729923e-05
19.04296875,3.8310299143124027e-05
19.287109375,4.464556446676959e-05
19.53125,5.257760708435838e-05
19.775390625,5.7964321561569895e-05
20.01953125,4.054686545991022e-05
20.263671875,3.714643871148739e-05
20.5078125,3.749020899398938e-05
20.751953125,4.004252988947763e-05
20.99609375,4.121596357102193e-05
21.240234375,4.5240110728783775e-05
21.484375,7.816568865280302e-05
21.728515625,0.00017198607369635013
21.97265625,0.00010833089988269596
22.216796875,3.997199683128166e-05
22.4609375,3.252419719166798e-05
22.705078125,2.3803831807124426e-05
22.94921875,2.6355302483268628e-05
23.193359375,2.5320577494893524e-05
23.4375,2.3638719094056076e-05
23.681640625,2.412954279032354e-05
23.92578125,2.3769265883886382e-05
24.169921875,2.264188096178138e-05
24.4140625,2.0564077823221e-05
24.658203125,1.7661684514655796e-05
24.90234375,1.5728961031984006e-05
25.146484375,1.8223269511643663e-05
25.390625,1.8163118000368884e-05
25.634765625,2.12987690835915e-05
25.87890625,1.9874605426449266e-05
26.123046875,1.4811318295238795e-05
26.3671875,1.6507352081973175e-05
26.611328125,1.6833459585115847e-05
26.85546875,1.558698456511493e-05
27.099609375,1.1687047795298504e-05
27.34375,1.2434927532878651e-05
27.587890625,1.5014644516168523e-05
27.83203125,1.336474864151014e-05
28.076171875,1.1850358998128156e-05
28.3203125,1.4424689843058363e-05
28.564453125,1.689492169040991e-05
28.80859375,1.3571636896209587e-05
29.052734375,1.2333998482401312e-05
29.296875,1.0516459354380609e-05
29.541015625,9.229414167669674e-06
29.78515625,1.0132770406561215e-05
