x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma,total
14.274,5.691280244484575e-10,8.193825924281537e-09,8.516420349721391e-11,1.5540606110416974e-09,6.551675806586896e-09,1.4087756598893643e-08,9.749041618999232e-09,4.338714979894409e-09,1.7687496490894584e-09,2.4288578850941774e-08
14.524,4.695628292301194e-10,7.47175607345023e-09,1.6064811008669038e-10,9.86054316562902e-10,6.236536521947409e-09,1.4559549006982888e-08,1.1254289625793072e-08,3.305259381189815e-09,1.7174445893444836e-09,2.3910164953485593e-08
14.774,3.8554841327476795e-10,8.663639022274015e-09,2.363369477627378e-10,6.443067079528665e-10,7.186523862671679e-09,1.612313757989803e-08,1.3041665026692066e-08,3.0814725532059665e-09,1.8587454323196398e-09,2.628221678068987e-08
15.024,5.360373989597731e-10,1.05328633023202e-08,4.1206413765500635e-10,8.698644101804955e-10,9.008111513440386e-09,1.7548584406249942e-08,1.448908149177347e-08,3.0595029144764744e-09,1.983140696780746e-09,3.005051244802484e-08
15.274,1.0765205682573343e-09,9.261212365901967e-09,7.424970180548681e-10,2.193598261704667e-09,9.741517384714591e-09,1.5408968836363266e-08,1.2444853838876451e-08,2.96411499748681e-09,2.057022956156895e-09,3.0355655363111804e-08
15.524,1.4929630166483644e-09,5.3539447506608405e-09,9.203491657070967e-10,3.782475392453007e-09,8.793456619392303e-09,1.0484981793666338e-08,7.615106163355096e-09,2.8698756303112385e-09,1.975839034682245e-09,2.616251411787961e-08
15.774,1.2514889317800292e-09,3.130686916694543e-09,6.990837591003426e-10,4.026113870211916e-09,8.234496287644435e-09,7.442208118791177e-09,4.541021338855505e-09,2.9011867799356715e-09,1.6388650008927603e-09,2.2256949858407623e-08
16.024,6.235322784046231e-10,4.681334390552289e-09,3.384604488908908e-10,2.806067643904347e-09,9.314635640353769e-09,7.858890884982555e-09,5.024956156649645e-09,2.833934728332912e-09,1.2785252178584715e-09,2.1811992776428735e-08
16.274,2.576508280082922e-10,7.815122334793362e-09,1.6195532215070753e-10,1.6905075445474149e-09,1.0421061773418241e-08,9.046343025743999e-09,6.6181609236496695e-09,2.4281821020943275e-09,1.2776238968189942e-09,2.2867170747249627e-08
16.524,2.16694026702264e-10,1.0073419097513344e-08,1.9002454044721798e-10,1.5908415857983478e-09,1.2300190404946054e-08,9.298400652669488e-09,7.265205067497592e-09,2.033195585171894e-09,1.717245327447392e-09,2.535848256307649e-08
16.774,1.8736688975012347e-10,1.0240327661716365e-08,2.0800917447579e-10,1.948315412665859e-09,1.6596338765618798e-08,9.05121163730274e-09,6.734198928456601e-09,2.3170127088461405e-09,2.351726336213186e-09,3.0407694491026024e-08
17.024,1.5574943118408397e-10,8.452956260973429e-09,1.6987547091625108e-10,2.0486309839872058e-09,1.9409521342535405e-08,9.254409480461934e-09,5.897989303681978e-09,3.3564201767799578e-09,2.6973836741307064e-09,3.381732058822848e-08
17.274,1.6591720195364708e-10,6.153058666829747e-09,1.8673518136808666e-10,1.6059102107761454e-09,1.619751759631821e-08,1.1007015833175758e-08,6.310609617950162e-09,4.6964062152255975e-09,2.5377862890538303e-09,3.171011691206809e-08
17.524,1.8133602352751456e-10,4.62333140637777e-09,1.4958090768786156e-10,1.3559110186026605e-09,9.4856161632438e-09,1.3638568625620929e-08,7.908588637202706e-09,5.729979988418223e-09,2.1700443545796625e-09,2.7123472002237797e-08
17.774,2.5188948800452443e-10,3.5795286121193266e-09,1.7203731802050865e-10,2.054594226342898e-09,5.680000431808693e-09,1.4301087669886081e-08,8.615384573043138e-09,5.685703096842943e-09,1.983399110243599e-09,2.4592068872596496e-08
18.024,5.147303085395398e-10,2.495580395078794e-09,3.6962091231447124e-10,3.639219290983601e-09,5.492902833300109e-09,1.1872806718298267e-08,7.47433827550288e-09,4.3984684427953854e-09,1.9943097952161133e-09,2.362107995015373e-08
18.274,8.577363975396944e-10,1.8448897227119681e-09,6.157520393140188e-10,5.036235802867445e-09,6.337251850740156e-09,8.478606635877854e-09,5.471491384798562e-09,3.0071152510792916e-09,1.9839080160578333e-09,2.266359779979559e-08
18.524,9.589187938056208e-10,2.233356203452166e-09,7.337665022865936e-10,4.89458577211082e-09,7.43432265585491e-09,7.051709278476486e-09,4.3597838910508285e-09,2.691925387425656e-09,1.9357265082115617e-09,2.229429858917466e-08
18.774,7.653949193631016e-10,3.678532380412266e-09,6.001200001998181e-10,3.5400143113080596e-09,8.46182904024961e-09,7.910384516138838e-09,4.923768500591793e-09,2.9866160155470442e-09,1.8912136925837125e-09,2.2640774265118865e-08
19.024,5.350225692281284e-10,5.511083793203787e-09,3.603516931308858e-10,2.27475707517304e-09,1.088791859383789e-08,9.192096919006015e-09,6.152885895715434e-09,3.039211023290581e-09,1.8641941666539412e-09,2.4834610092666247e-08
19.274,3.393218161105218e-10,6.185252619843899e-09,1.9565730248035638e-10,1.6816932717303052e-09,1.4373726056477565e-08,9.717718480396112e-09,6.371847624507954e-09,3.345870855888158e-09,1.809088055045771e-09,2.8101656786250394e-08
19.524,2.2008874330500627e-10,5.165021885435168e-09,1.4134542627762693e-10,1.3820508200175382e-09,1.556024237215612e-08,9.814208660608134e-09,5.37657978534141e-09,4.437628875266724e-09,1.7726902607798958e-09,2.896428186957768e-08
19.774,2.343228124269841e-10,3.507470513437633e-09,1.6372765478420916e-10,1.878202954136725e-09,1.3102289620460061e-08,9.16291579274539e-09,3.867212568324751e-09,5.295703224420635e-09,2.0029084212720475e-09,2.6484962732881483e-08
20.024,3.6298267551856836e-10,2.4594268942304255e-09,1.3778686885293527e-10,3.5823169575086497e-09,1.0315063196582206e-08,7.351781150348706e-09,2.5755447255159653e-09,4.776236424832741e-09,2.42486527763091e-09,2.3982513799251624e-08
20.274,5.122467159263771e-10,2.4266922378289942e-09,1.1300603765725466e-10,6.29832970532108e-09,9.645134894602135e-09,5.681420715175313e-09,2.204627917942441e-09,3.4767927972328716e-09,2.6396469992054152e-09,2.4567022071315232e-08
20.524,5.691254390375395e-10,3.05762566514527e-09,1.0284872919703265e-10,8.435546052143728e-09,9.003560786940558e-09,6.244358512358318e-09,3.5523061719062772e-09,2.6920523404520403e-09,2.5608801104278685e-09,2.656640915731536e-08
20.774,5.49229713941924e-10,3.935953632053434e-09,1.2460325775501642e-10,8.274862318053101e-09,8.355038073609714e-09,8.87531000240853e-09,6.1310944626368034e-09,2.7442155397717274e-09,2.587404047384477e-09,2.848078634499413e-08
21.024,6.859540579645837e-10,5.037275744433126e-09,1.6926370590923882e-10,6.319341633519416e-09,9.909517853577167e-09,1.1643020934434267e-08,8.60054315698228e-09,3.0424777774519893e-09,2.8660706567632628e-09,3.117802865219788e-08
21.274,1.1464749309584032e-09,5.671907195205859e-09,2.5718565755122043e-10,4.886213148922812e-09,1.2720110685747957e-08,1.2741984803839985e-08,9.595557694401786e-09,3.1464271094382013e-09,3.0745264752666427e-09,3.3907093324500155e-08
21.524,1.620202149145038e-09,4.936648477417274e-09,3.7625858450409385e-10,4.268298751229583e-09,1.3521793082270254e-08,1.1566317894872828e-08,8.590348330347883e-09,2.975969564524945e-09,3.0090150473102077e-09,3.2965157407077435e-08
21.774,1.5462114422017296e-09,3.2489907461594048e-09,4.0181186494417794e-10,3.2831644190276545e-09,1.115058818066887e-08,9.033092153760806e-09,6.338929060823634e-09,2.694163092937173e-09,2.7117845637842305e-09,2.6823714989000722e-08
22.024,9.445434691106622e-10,3.2392651911271804e-09,3.4467878538571945e-10,3.248076235898211e-09,8.87640443761101e-09,6.980684477815216e-09,4.3968506427266985e-09,2.5838338350885166e-09,2.304435342304834e-09,2.1978562258957947e-08
22.274,4.642784598537945e-10,5.446018812063372e-09,2.789633341469115e-10,5.973958746426666e-09,1.2703757041964283e-08,7.068168692316377e-09,4.379456231777334e-09,2.688712460539044e-09,1.893846922454524e-09,2.8219797220682118e-08
22.524,3.42653680008672e-10,7.498567405847461e-09,3.188503515234991e-10,9.491957629422541e-09,2.221221010698959e-08,8.931769599319036e-09,6.3162059340846955e-09,2.615563665234339e-09,1.7079513300672045e-09,4.296209619939923e-08
22.774,3.4533614335545835e-10,7.493359091031987e-09,3.3222871226538346e-10,9.928061892981875e-09,2.7937966171246333e-08,9.752349456114059e-09,7.586363079161968e-09,2.1659863769520908e-09,1.934204834543936e-09,5.010811079857941e-08
23.024,3.0051470109853915e-10,6.36380577442561e-09,2.8281356661609113e-10,7.208908474805782e-09,2.372794529146041e-08,8.083282347296076e-09,6.453612163544412e-09,1.6296701837516634e-09,2.3694532053507573e-09,4.188894549897236e-08
23.274,2.1553362812539487e-10,5.527484448653221e-09,2.416964703370633e-10,5.102851383080934e-09,1.5185963688494405e-08,6.079329349728746e-09,4.654771875991262e-09,1.4245574737374837e-09,2.4599984708610857e-09,2.9318928438709597e-08
23.524,2.3714625491992945e-10,5.597754373893838e-09,2.8189876439529696e-10,7.306729740585393e-09,1.1568606069532735e-08,6.791668252031622e-09,4.727914180538342e-09,2.06375407149328e-09,1.9996902846733642e-09,2.824120797835439e-08
23.774,3.898083324940422e-10,5.862735229109194e-09,4.128714269389649e-10,1.185901624985282e-08,1.4494513751885156e-08,9.470448982452237e-09,5.949023740524671e-09,3.5214252419275643e-09,1.492390466173188e-09,3.8045639622373945e-08
24.024,5.643154207692698e-10,5.780893632840676e-09,5.003873888091303e-10,1.4094954798443802e-08,1.7777450551087304e-08,1.0866590255595673e-08,6.250559949407692e-09,4.616030306187984e-09,1.504559143807827e-09,4.498165107175169e-08
24.274,5.86133510142124e-10,5.431594661475711e-09,4.328936785062797e-10,1.2925802640450356e-08,1.5716111290678112e-08,1.0285350461696136e-08,5.8618797922876115e-09,4.423470669408529e-09,1.8510633325687442e-09,4.141063093650091e-08
24.524,5.06358313965783e-10,4.732396787329541e-09,2.650440163696628e-10,1.1875299519481205e-08,1.038381378511785e-08,8.70969633357853e-09,5.179998465424161e-09,3.5296978681543716e-09,2.0240661238731865e-09,3.354582075488224e-08
24.774,5.210785770075072e-10,4.203166090372501e-09,2.680555791167006e-10,1.2185653610762e-08,7.457789724096617e-09,7.335860696757331e-09,4.2379567875229035e-09,3.0979039092344266e-09,1.9218567896072143e-09,2.9442115491339576e-08
25.024,7.083331365503103e-10,5.065132905282838e-09,5.51377516093943e-10,1.01512348631215e-08,9.581329003195176e-09,6.58141718315316e-09,3.33064773117867e-09,3.250769451974489e-09,1.7174737292823434e-09,2.8788584465351494e-08
25.274,1.0647517462226345e-09,7.623634525779747e-09,9.066406009816953e-10,5.547978498560833e-09,1.5027360749377508e-08,6.360978612440808e-09,2.9667249598457714e-09,3.3942536525950375e-09,1.5191424106851812e-09,2.9607747520573597e-08
25.524,1.3747528258852995e-09,8.721162259743513e-09,9.854645790887836e-10,2.6689847688120305e-09,1.8043066473558882e-08,6.5275926887433745e-09,3.235378479996804e-09,3.2922142087465696e-09,1.3939205947320989e-09,2.9847788492617496e-08
25.774,1.3648473376867897e-09,6.07957906165156e-09,7.37987805588255e-10,3.148500309306452e-09,1.5499595412835047e-08,7.094082352921075e-09,3.8270581885596095e-09,3.267024164361465e-09,1.3948613917139526e-09,2.807403513901926e-08
26.024,8.684584877731265e-10,2.3405871424833345e-09,3.5163428031616037e-10,5.473369694205452e-09,1.1662434145042228e-08,7.561085995183036e-09,4.246873537251483e-09,3.314212457931553e-09,1.4454917975011253e-09,2.679297126882586e-08
26.274,3.871019058766902e-10,7.556062048879544e-10,1.8465818269211718e-10,1.025943720975425e-08,1.118702772890197e-08,7.043417571850524e-09,4.057661990144072e-09,2.985755581706453e-09,1.4592920697271013e-09,3.0446804066621105e-08
26.524,3.2426527658103e-10,8.962029309275521e-10,1.9434708024835615e-10,1.7723747948276333e-08,1.3040021054730517e-08,6.007292134496752e-09,3.6415494275270594e-09,2.365742706969692e-09,1.4936749117565708e-09,3.8689926080377697e-08
26.774,4.243229898973306e-10,1.3994655146915775e-09,3.1521360146244715e-10,2.4284757436521034e-08,1.5005041899439072e-08,5.494866111248312e-09,3.291764575968302e-09,2.2031015352800104e-09,1.61868093458098e-09,4.690303412535838e-08
27.024,6.604567099491158e-10,2.04899309571583e-09,6.351696318516647e-10,3.5053705451872e-08,1.707472192478685e-08,5.286834622854796e-09,2.7766337921413194e-09,2.5102008307134777e-09,1.7528191523440591e-09,6.017375781391322e-08
27.274,1.410404900848967e-09,2.6702892822010064e-09,1.1604248242274901e-09,5.4589093802594125e-08,1.8912916702133643e-08,4.998285667558537e-09,2.4449343522927642e-09,2.553351315265771e-09,1.787636280610615e-09,8.214183370515123e-08
27.524,2.2796129294321816e-09,3.2203065965028518e-09,1.7072876185477783e-09,6.698880046030238e-08,1.9084948357731513e-08,5.08007934566387e-09,3.016423638436648e-09,2.063655707227222e-09,1.7543198040340551e-09,9.513718488207164e-08
27.774,2.4313503461418344e-09,3.560997969939892e-09,1.6523187455792308e-09,5.683811707477617e-08,1.6232895105825464e-08,5.563037282206743e-09,3.974065494277096e-09,1.5889717879296472e-09,1.8313595397701095e-09,8.238794865752155e-08
28.024,1.8441162092518334e-09,3.2799516398754153e-09,1.1902452255920448e-09,3.542237697250726e-08,1.0666754747052763e-08,5.907190707715198e-09,4.105798837764844e-09,1.8013918699503532e-09,2.0315847785453346e-09,5.5555620612829213e-08
28.274,1.2885032030388848e-09,2.3296127484839854e-09,9.275732588574975e-10,2.3176908430592273e-08,5.029881254403146e-09,5.6939864543151186e-09,3.3340813507865137e-09,2.3599051035286053e-09,2.1456593511703522e-09,3.7294233474036094e-08
28.524,1.4307527549192819e-09,1.5972405643324281e-09,7.619914305952804e-10,1.9900857729800647e-08,2.1031588849347585e-09,5.332758317580709e-09,2.7567219149973922e-09,2.5760364025833167e-09,1.9906584047104976e-09,3.033050559974786e-08
28.774,1.7739894665467876e-09,1.7549118463646192e-09,6.670798640437935e-10,2.053504436546389e-08,1.3643525161252281e-09,5.476899715049966e-09,3.026802509375181e-09,2.450097205674786e-09,1.6349408066428815e-09,2.999832806730083e-08
29.024,1.7385639878075156e-09,2.24218612433112e-09,4.3963352271111954e-10,3.152315744657915e-08,1.2019288360551337e-09,5.868952935176567e-09,3.3932560493275806e-09,2.475696885848986e-09,1.3731617402711322e-09,4.088348788715139e-08
29.274,1.7217221899714684e-09,2.2395000722153035e-09,2.5394032821828985e-10,4.9013348923180774e-08,1.6996416145853892e-09,5.914925022141504e-09,3.182176001371802e-09,2.732749020769702e-09,1.4123924839479767e-09,5.871384762783882e-08
29.524,2.0942842111147167e-09,1.737749343824806e-09,2.3440717024032567e-10,6.252335890716395e-08,2.541941340130105e-09,5.781579598441027e-09,2.915942934085172e-09,2.8656366643558566e-09,1.6560827864741914e-09,7.297750526908164e-08
29.774,2.147595688139857e-09,2.1408914475578196e-09,2.989377576793432e-10,8.156507679241002e-08,3.7190599892171136e-09,6.070030211746258e-09,3.292983073529189e-09,2.7770471382170686e-09,1.8432027426337164e-09,9.393300063884052e-08
30.024,1.780886423903135e-09,4.7514705037946605e-09,3.8448642041595e-10,1.2166126123842203e-07,5.588418560803168e-09,6.8159352193501695e-09,4.136593662313664e-09,2.6793415570365054e-09,1.87438275246213e-09,1.3699190809408998e-07
